product_id,Sku_name,Total_sales,price,Total_comment_count,Product_score
5.76403E+11,Hugo Boss【BOSS】男士舒适休闲弹力斜纹布长裤50392972 ,13,1015,2,5
5.7481E+11,Hugo Boss【BOSS】男士舒适休闲锥形版牛仔布牛仔长裤50392708 ,6,1400,2,5
5.7649E+11,Hugo Boss【BOSS】男士运动休闲弹力棉短袖T恤衫50393198 ,13,630,5,5
5.75535E+11,Hugo Boss【BOSS】男士商务休闲立领正装大衣风衣50403652 ,0,6700,0,无数据
5.81834E+11,Hugo Boss【BOSS】男士舒适休闲运动衫50398180 ,5,1550,2,5
5.81889E+11,Hugo Boss【BOSS】男士商务休闲衬衫50399375 ,1,1350,0,无数据
5.76483E+11,Hugo Boss【BOSS】男士商务休闲圆翻领衫毛衣50392083 ,6,1900,1,5
5.72496E+11,Hugo Boss【BOSS】男士商务休闲柔软翻绒皮轻便乐福鞋50390226 ,7,1860,2,5
5.47063E+11,Hugo Boss【BOSS】男士复古皮革牛津底皮鞋50228940 ,21,3400,9,5
5.82218E+11,Hugo Boss【BOSS】男士舒适休闲修身版中腰长裤50399172 ,1,1450,0,无数据
5.69477E+11,Hugo Boss【BOSS】男士商务休闲弹力棉短裤50391019 ,32,870,12,5
5.70362E+11,Hugo Boss【BOSS】男士商务休闲Formula ExBOSS合作款T恤50406120 ,37,540,7,5
5.7343E+11,Hugo Boss【BOSS】男士商务休闲桑蚕丝领带50397038 ,13,616,2,5
5.82259E+11,Hugo Boss【BOSS】男士舒适休闲弹力棉短裤50389608 ,4,660,2,5
5.72569E+11,Hugo Boss【BOSS】男士舒适休闲牛仔裤50389665 ,15,945,6,5
5.81721E+11,Hugo Boss【BOSS】男士商务休闲领带50401521 ,5,900,0,无数据
5.78561E+11,Hugo Boss【BOSS】男士运动休闲弹力面料拉链式运动上衣50391542 ,5,2600,0,无数据
5.74784E+11,Hugo Boss【BOSS】男士商务休闲细纹衬衫50393184 ,22,810,3,5
5.76575E+11,Hugo Boss【BOSS】男士运动休闲logo弹力棉T恤50393187 ,16,880,9,5
5.82711E+11,Hugo Boss【BOSS】男士运动休闲常规版长袖T恤50399868 ,2,1100,1,5
5.81776E+11,Hugo Boss【Hugo】男士修身版迷彩印花棉质衬衫50394339 ,7,840,2,5
5.8196E+11,Hugo Boss【BOSS】男士商务休闲修身版棉质长袖衬衫50399295 ,3,1450,0,无数据
5.81205E+11,Hugo Boss【BOSS】男士商务休闲针织衫50398782 ,3,3400,2,5
5.74786E+11,Hugo Boss【BOSS】男士商务休闲Polo衫50391610 ,24,1080,6,4.5
5.66084E+11,Hugo Boss【HUGO】男士低腰弹力黑色牛仔裤50382855 ,28,825,10,5
5.7458E+11,Hugo Boss【Hugo】男士迷彩花纹衬衫50393595 ,12,1015,2,5
5.83377E+11,Hugo Boss【BOSS】男士商务休闲西服50408476 ,0,5000,0,无数据
5.75205E+11,Hugo Boss【BOSS】男士商务休闲正装西装长裤50394417 ,12,1400,1,5
5.47059E+11,Hugo Boss【BOSS】男士桑蚕丝方巾 口袋巾 50307917 ,32,448,8,5
5.81915E+11,Hugo Boss【BOSS】男士商务休闲两双装袜子50401274 ,13,240,5,5
5.81761E+11,Hugo Boss【BOSS】男士商务休闲常规版混色棉毛衣针织衫50398291 ,2,1900,0,无数据
5.81461E+11,Hugo Boss【BOSS】男士商务休闲休闲版弹力棉斜纹棉布裤50400115 ,1,2000,0,无数据
5.59876E+11,Hugo Boss【BOSS】男士商务正装西服外套50318498 ,8,6000,2,5
5.6947E+11,Hugo Boss【BOSS】男士运动休闲色块拼接polo衫50388206 ,15,660,3,5
5.82084E+11,Hugo Boss【BOSS】男士舒适休闲印花休闲版棉质短袖T恤50398822 ,3,770,2,5
5.81893E+11,Hugo Boss【BOSS】男士运动休闲针织长裤50399855 ,1,1800,0,无数据
5.73938E+11,Hugo Boss【BOSS】男士商务休闲风帽款可压缩风衣50393816 ,1,5000,1,5
5.747E+11,Hugo Boss【BOSS】男士舒适休闲工装裤风格翻卷裤脚长裤50393636 ,7,1085,1,5
5.73945E+11,Hugo Boss【BOSS】男士运动休闲水手领T恤50393091 ,39,462,14,5
5.77375E+11,Hugo Boss【BOSS】男士舒适休闲针织衫毛衣夹克外套50392653 ,1,2170,0,无数据
5.82505E+11,Hugo Boss【BOSS】男士斜纹休闲裤长裤50325944 ,5,1015,0,无数据
5.69782E+11,Hugo Boss【BOSS】男士商务休闲印花LOGOT恤50388499 ,27,462,9,4.5
5.6508E+11,Hugo Boss【BOSS】男士舒适休闲短袖polo衫50381703 ,41,550,17,5
5.64812E+11,Hugo Boss【BOSS】男士运动休闲短袖polo衫50383559 ,39,675,14,4.8
5.75593E+11,Hugo Boss【BOSS】男士商务休闲polo衫50394127 ,16,2080,3,5
5.76121E+11,Hugo Boss【BOSS】男士商务休闲色块拼接毛衣50392087 ,6,1320,0,无数据
5.79828E+11,Hugo Boss【BOSS】男士商务休闲背心马甲50318500 ,8,2300,4,5
5.8235E+11,Hugo Boss【BOSS】男士舒适休闲牛仔裤50400092 ,0,1650,0,无数据
5.46329E+11,Hugo Boss【BOSS】男士双面牛皮针扣款腰带50322416 ,100,1100,42,5
5.75368E+11,Hugo Boss【BOSS】男士商务休闲polo衫50391835 ,42,1080,11,5
