product_id,eva_tag
574785651413,5
566689232914,5
566890322660,4.7
564998074984,4.7
576435735447,5
577200774914,4.9
565893272536,5
577614426859,4.7
582580202051,5
577732995805,4.8
576529742466,5
576909781370,5
556898082993,4.6
572493948185,5
573727129645,5
582107193784,无数据
577194068101,5
581324216351,5
578191389625,4.6
578151728618,4.7
569461553214,5
573691428335,5
579390804192,无数据
574825080719,5
582644382866,5
569374175978,5
581315210859,5
576242760711,3.6
580215592292,4
569556118902,4.9
581319120116,5
565892064104,5
575241992897,5
547516797238,4.8
569477456471,4.9
576978176859,5
580702386244,5
570998397800,4.9
574693198103,5
545268835746,4.7
568499274575,5
570929292977,5
574515163170,5
577606740058,4.3
556898166102,5
574613917351,5
581852026429,5
581777668762,5
574179056617,5
574807122086,5
581499533572,无数据
571636066622,4.8
581202623442,无数据
562679963244,4.7
547017781356,5
576882039839,5
577819042314,5
574687574879,5
576743076984,4.5
561673151647,5
578142744545,5
579445386780,4.8
582105766219,无数据
581305336686,5
581328706617,5
582092150670,无数据
556769640938,5
576957478139,5
581320248448,5
568761408449,5
579575341852,5
582614428076,5
546989649589,5
570871532272,4.9
581753479319,5
573882171652,5
573439274787,5
580213092529,无数据
574826624628,5
568800902453,5
582511650764,5
576123356109,5
577385420310,5
576881519827,5
578448894805,4.5
578571975295,5
581725137966,3.6
547528054668,4.9
577922594193,5
569597749240,4.8
576979816925,5
581317678683,5
578152936025,5
582082930806,5
574748874248,4.7
573807681835,5
571550261636,5
566823102974,5
573521561581,4.7
579696038644,5
574309654965,5
554822269008,4.8
572931410205,5
551882023444,5
576930564149,5
581452447942,无数据
564997486631,5
576901276684,4.8
580390028828,5
563382439660,4.8
564755240851,5
569696058812,5
577259858151,无数据
578229938279,5
577859557478,4.2
573953243928,4.9
576429995898,5
576958978331,无数据
581254113002,5
566004241917,4.7
582104322961,无数据
582941046877,5
581671380541,5
582389681456,5
566166563867,5
581458699343,无数据
573886939456,5
577027018081,5
582232603041,无数据
579698698151,5
572674122334,5
568602587751,4.2
578032307199,4.8
547061339739,5
583140978490,无数据
582234227592,5
581189433837,5
581513245027,无数据
578097504582,无数据
547052231729,4.8
574304938991,5
572917626981,5
581083100448,5
574817874727,5
582712743808,5
581703688743,无数据
574909383880,5
576642817899,无数据
566012272820,5
581316962766,5
578269425670,5
577435099992,5
575483834888,5
575408017303,5
582175271524,无数据
573533828667,5
581764080990,5
578511691260,无数据
567699999619,5
576037924443,无数据
546984108713,5
574175852104,4.8
581067584030,5
574447602248,4.7
556957767150,5
577073633527,5
578087204407,5
579577377395,5
568760932935,5
574977541294,5
576284812904,5
569145896319,5
582091458665,5
582346163726,无数据
569471884294,5
580757428895,5
580828471929,5
574373528448,5
571414228266,5
566731729124,4.9
546838445579,4.8
577326143185,5
573947178169,5
574961280372,5
575182133858,5
577023602380,5
575371392215,5
572397781021,4.5
568605131911,5
581981029163,5
581509327966,5
569637611455,5
578354691367,5
571742863243,5
569640483310,4.8
569598285842,5
569327272362,4.7
556770840078,4.8
577951192893,无数据
575193595961,5
572432024967,4.8
579391664251,5
581953765554,无数据
576331618524,5
581972137077,5
566082998583,5
576915563197,无数据
578239086813,5
560636698881,5
576881611280,5
581702506671,5
575027608899,4.6
576684060014,5
576773910248,3
569069735066,5
582343187163,无数据
546857782587,5
547043130464,4.9
582360779924,无数据
578104701174,5
569468768888,5
579703146268,4.5
577383747187,1
572930606272,4.2
580915088661,无数据
581255917650,5
569458155339,5
546837721238,5
571417144217,5
578103771749,5
574355743954,5
574521055297,5
580700782366,无数据
577145433450,4.7
581770260937,无数据
581721997121,5
581728725859,无数据
574793295667,5
581324630217,5
572817241628,5
574047500204,5
581710157599,无数据
581511540216,无数据
583497038734,无数据
570865480610,4.8
576402850047,5
574809602830,5
576490368065,5
575534730463,无数据
581833826378,5
581889204912,无数据
576483336388,5
572495692844,5
547062587893,5
582217883617,无数据
569477392304,5
570362155957,5
573430206981,5
582259364097,5
572568886040,5
581721309304,无数据
578560723734,无数据
574784283866,5
576575018308,5
582710815189,5
581775931492,5
581959949554,无数据
581205065225,5
574786387698,4.5
566084066153,5
574580069112,5
583376521329,无数据
575205356139,5
547058931649,5
581914540292,5
581761116786,无数据
581460627011,无数据
559875653011,5
569470276616,5
582084458360,5
581892772659,无数据
573938499791,5
574700417657,5
573945323893,5
577375267598,无数据
582504946641,无数据
569781563046,4.5
565079623826,5
564812248190,4.8
575592509935,5
576120632523,无数据
579828111491,5
582349583846,无数据
546328575236,5
575367565348,5
576654877733,无数据
575326619548,5
559888778064,5
574046171458,5
576315149938,5
580592493971,无数据
581526068708,无数据
580713702670,无数据
579704118925,5
574482531578,5
581670648256,5
578764220042,4.6
579568547722,5
582099465446,无数据
573664748744,5
582214267461,5
580752036662,无数据
575985908000,5
573320169065,5
582358335203,无数据
575183501452,5
579388828353,5
555233122667,5
578119597246,5
582727563309,无数据
569470944347,5
579820483895,5
547048587779,5
582035810446,5
578096960423,无数据
573017679462,无数据
577316474289,5
578514411627,5
583280159370,无数据
583173968502,无数据
